date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,days_since_gap,gap_pct,gap_vol_ratio,gap_day_close_location_pct,gap_day_close_vs_open_pct,prior_65d_run_pct,prior_65d_weakness_pct,distance_to_52w_high_before_gap,holding_above_gap_open_days,gap_fill_pct,is_first_gap_in_6m,ep_tier,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-02-17,GODFRYPHLP,EPISODIC_PIVOT,7038.0,88.66,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",10.01,8.86,7038.0,Gap 10.0% 1d ago on 8.9x vol,1,10.01,8.86,100.0,9.08,0.0,0.0,12.12,1,46.36,True,A+,AVOID,12.15,10.02,1,105,0.6234,238,230,-2.77,-0.79,-1.98,-15.22,2.26,-17.48,-20.63,0.45,-21.08,-27.17,-3.28,-23.89,-13.49,2.77,-16.26,10.0,-16.12,10.0,-23.39,10.0,-29.63,False,False,True,True,True
2025-02-18,GODFRYPHLP,EPISODIC_PIVOT,6842.8,88.66,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",10.01,8.86,6842.8,Gap 10.0% 2d ago on 8.9x vol,2,10.01,8.86,100.0,9.08,0.0,0.0,12.12,2,46.36,True,B,AVOID,13.01,9.59,0,65,0.26,151,318,-4.14,1.82,-5.96,-15.44,2.35,-17.79,-17.4,0.81,-18.21,-24.58,-0.05,-24.53,-10.33,4.32,-14.65,4.12,-17.32,4.12,-21.2,4.12,-27.63,False,False,True,False,False
2025-02-19,GODFRYPHLP,EPISODIC_PIVOT,6559.25,88.66,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",10.01,8.86,6559.25,Gap 10.0% 3d ago on 8.9x vol,3,10.01,8.86,100.0,9.08,0.0,0.0,12.12,3,46.36,True,B,AVOID,18.98,12.58,4,31,0.8854,353,115,-9.04,1.23,-10.27,-14.84,-0.57,-14.27,-18.14,-2.41,-15.73,-17.39,-0.53,-16.86,-4.58,4.27,-8.85,0.29,-17.8,0.29,-18.14,0.29,-24.5,False,False,False,False,False
2025-04-01,IDEA,EPISODIC_PIVOT,8.1,46.78,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",10.0,4.68,8.1,Gap 10.0% 0d ago on 4.7x vol,0,10.0,4.68,57.41,8.29,0.0,0.0,35.05,0,0.0,False,A+,AVOID,74.0,52.22,5,8,0.8072,177,296,1.48,0.99,0.49,-2.35,-1.62,-0.73,-11.48,-3.53,-7.95,-9.75,2.37,-12.12,-11.73,3.93,-15.66,2.96,-3.09,2.96,-11.85,2.96,-13.46,False,False,True,False,False
2025-04-02,IDEA,EPISODIC_PIVOT,8.22,46.78,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",10.0,4.68,8.22,Gap 10.0% 1d ago on 4.7x vol,1,10.0,4.68,57.41,8.29,0.0,0.0,35.05,1,0.0,False,A+,AVOID,78.86,58.35,3,9,0.8309,359,111,-0.36,0.48,-0.84,-10.46,-6.49,-3.97,-13.75,-5.4,-8.35,-1.82,3.22,-5.04,-16.3,0.79,-17.09,1.46,-12.77,1.46,-14.72,1.46,-14.72,False,False,False,False,False
2025-04-03,IDEA,EPISODIC_PIVOT,8.19,46.78,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",10.0,4.68,8.19,Gap 10.0% 2d ago on 4.7x vol,2,10.0,4.68,57.41,8.29,0.0,0.0,35.05,2,0.0,False,B,AVOID,76.74,62.37,2,8,0.5988,282,190,-3.42,-3.04,-0.38,-12.45,-4.93,-7.52,-12.45,-3.53,-8.92,-2.69,3.36,-6.05,-15.51,1.21,-16.72,-0.12,-12.82,-0.12,-14.41,0.0,-14.41,True,True,False,False,False
2025-04-04,IDEA,EPISODIC_PIVOT,7.91,46.78,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",10.0,4.68,7.91,Gap 10.0% 3d ago on 4.7x vol,3,10.0,4.68,57.41,8.29,0.0,0.0,35.05,3,0.0,False,B,AVOID,50.95,47.57,1,21,0.0649,37,435,-6.95,-4.02,-2.93,-10.37,-2.9,-7.47,-7.46,2.46,-9.92,1.26,7.31,-6.05,-15.42,3.02,-18.44,-3.92,-11.38,-3.92,-11.38,3.54,-11.38,True,True,False,False,False
2025-05-05,RRKABEL,EPISODIC_PIVOT,1175.8,500.36,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",14.28,35.04,1175.8,Gap 14.3% 0d ago on 35.0x vol,0,14.28,35.04,50.4,0.5,-18.02,37.04,29.64,0,25.85,False,A+,OFFENSIVE,68.5,76.32,5,0,0.8725,360,111,3.21,-2.06,5.27,2.92,-2.47,5.39,8.86,1.13,7.73,10.29,5.77,4.52,18.26,7.27,10.99,7.8,-3.33,11.83,-3.33,16.18,-3.33,False,False,True,True,True
2025-05-05,NETWEB,EPISODIC_PIVOT,1604.4,232.81,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",10.71,21.73,1604.4,Gap 10.7% 0d ago on 21.7x vol,0,10.71,21.73,53.46,1.93,-22.98,35.19,51.66,0,38.41,False,A+,OFFENSIVE,68.5,76.32,5,0,0.8725,360,111,-2.42,-2.06,-0.36,1.74,-2.47,4.21,7.26,1.13,6.13,14.7,5.77,8.93,21.48,7.27,14.21,7.52,-6.79,12.57,-6.79,17.93,-6.79,False,False,True,True,True
2025-05-06,CCL,EPISODIC_PIVOT,694.45,1653.98,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",15.56,106.27,694.45,Gap 15.6% 0d ago on 106.3x vol,0,15.56,106.27,77.2,1.39,-1.46,23.9,20.56,0,37.24,False,A+,DEFENSIVE,48.84,65.12,5,0,0.2945,74,399,11.25,0.9,10.35,4.16,-0.76,4.92,3.66,3.71,-0.05,19.62,6.65,12.97,28.3,9.25,19.05,15.9,-4.02,15.9,-4.02,22.69,-4.02,False,False,True,True,True
